Time,End,lat,lon,Phase C-A Avg Volts
26-10-2022 07:00:00,26-10-2022 07:00:00,9.848634400644745,-84.31491096137044,117.16
26-10-2022 07:00:00,26-10-2022 07:00:00,10.71553,-85.62812,119.72
26-10-2022 07:00:00,26-10-2022 07:00:00,09.95461,-85.03797,117.40
26-10-2022 07:00:00,26-10-2022 07:00:00,09.99357,-85.28716,120.86
26-10-2022 08:00:00,26-10-2022 08:00:00,9.848634400644745,-84.31491096137044,116.34
26-10-2022 08:00:00,26-10-2022 08:00:00,10.71553,-85.62812,118.66
26-10-2022 08:00:00,26-10-2022 08:00:00,09.95461,-85.03797,116.88
26-10-2022 08:00:00,26-10-2022 08:00:00,09.99357,-85.28716,121.36
26-10-2022 09:00:00,26-10-2022 09:00:00,9.848634400644745,-84.31491096137044,114.54
26-10-2022 09:00:00,26-10-2022 09:00:00,10.71553,-85.62812,119.38
26-10-2022 09:00:00,26-10-2022 09:00:00,09.95461,-85.03797,116.60
26-10-2022 09:00:00,26-10-2022 09:00:00,09.99357,-85.28716,121.90
26-10-2022 10:00:00,26-10-2022 10:00:00,9.848634400644745,-84.31491096137044,118.80
26-10-2022 10:00:00,26-10-2022 10:00:00,10.71553,-85.62812,119.12
26-10-2022 10:00:00,26-10-2022 10:00:00,09.95461,-85.03797,117.12
26-10-2022 10:00:00,26-10-2022 10:00:00,09.99357,-85.28716,121.00
26-10-2022 11:00:00,26-10-2022 11:00:00,9.848634400644745,-84.31491096137044,115.50
26-10-2022 11:00:00,26-10-2022 11:00:00,10.71553,-85.62812,119.50
26-10-2022 11:00:00,26-10-2022 11:00:00,09.95461,-85.03797,117.52
26-10-2022 11:00:00,26-10-2022 11:00:00,09.99357,-85.28716,121.64
26-10-2022 12:00:00,26-10-2022 12:00:00,9.848634400644745,-84.31491096137044,116.58
26-10-2022 12:00:00,26-10-2022 12:00:00,10.71553,-85.62812,119.36
26-10-2022 12:00:00,26-10-2022 12:00:00,09.95461,-85.03797,116.82
26-10-2022 12:00:00,26-10-2022 12:00:00,09.99357,-85.28716,122.38
26-10-2022 13:00:00,26-10-2022 13:00:00,9.848634400644745,-84.31491096137044,117.94
